day,flag_weekend,kd_armada,asal,tujuan,kapasitas,penumpang,waktu_keberangkatan,load_factor,urutan_keberangkatan
Sunday,1,ID-JK 2308,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-01 21:30:00,21.052631578947366,31
Sunday,1,ID-JK 2314,stasiun gambir,bandara soekarno hatta,19,4.0,2024-12-01 21:30:00,21.052631578947366,32
Sunday,1,ID-JK 2302,stasiun gambir,bandara soekarno hatta,19,24.0,2024-12-01 22:30:00,100.0,33
Sunday,1,ID-JK 2312,stasiun gambir,bandara soekarno hatta,19,20.0,2024-12-01 22:30:00,100.0,34
Monday,0,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-02 06:30:00,21.052631578947366,1
Monday,0,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,2.0,2024-12-02 06:30:00,10.526315789473683,2
Monday,0,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-02 06:30:00,42.10526315789473,3
Monday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-02 06:30:00,26.31578947368421,4
Monday,0,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,11.0,2024-12-02 06:30:00,57.89473684210527,5
Monday,0,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,9.0,2024-12-02 06:30:00,47.368421052631575,6
Monday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-02 06:30:00,5.263157894736842,7
Monday,0,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,8.0,2024-12-02 06:30:00,42.10526315789473,8
Monday,0,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,10.0,2024-12-02 06:30:00,52.63157894736842,9
Monday,0,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,12.0,2024-12-02 06:30:00,63.1578947368421,10
Monday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-02 08:30:00,26.31578947368421,11
Monday,0,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-02 11:30:00,36.84210526315789,12
Monday,0,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-02 12:30:00,21.052631578947366,13
Monday,0,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,10.0,2024-12-02 12:30:00,52.63157894736842,14
Monday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-02 14:00:00,68.42105263157895,15
Monday,0,ID-JK 2302,bandara soekarno hatta,stasiun gambir,19,9.0,2024-12-02 16:30:00,47.368421052631575,16
Monday,0,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,15.0,2024-12-02 17:00:00,78.94736842105263,17
Monday,0,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-02 17:00:00,26.31578947368421,18
Monday,0,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,13.0,2024-12-02 17:00:00,68.42105263157895,19
Monday,0,ID-JK 2305,bandara soekarno hatta,stasiun gambir,19,10.0,2024-12-02 17:00:00,52.63157894736842,20
Monday,0,ID-JK 2306,bandara soekarno hatta,stasiun gambir,19,24.0,2024-12-02 17:00:00,100.0,21
Monday,0,ID-JK 2307,bandara soekarno hatta,stasiun gambir,19,4.0,2024-12-02 17:00:00,21.052631578947366,22
Monday,0,ID-JK 2308,bandara soekarno hatta,stasiun gambir,19,14.0,2024-12-02 17:00:00,73.68421052631578,23
Monday,0,ID-JK 2309,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-02 17:00:00,15.789473684210526,24
Monday,0,ID-JK 2310,bandara soekarno hatta,stasiun gambir,19,7.0,2024-12-02 17:00:00,36.84210526315789,25
Monday,0,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,16.0,2024-12-02 17:00:00,84.21052631578947,26
Monday,0,ID-JK 2314,bandara soekarno hatta,stasiun gambir,19,5.0,2024-12-02 17:00:00,26.31578947368421,27
Monday,0,ID-JK 2311,bandara soekarno hatta,stasiun gambir,19,34.0,2024-12-02 18:30:00,100.0,28
Monday,0,ID-JK 2312,bandara soekarno hatta,stasiun gambir,19,12.0,2024-12-02 19:30:00,63.1578947368421,29
Monday,0,ID-JK 2301,bandara soekarno hatta,stasiun gambir,19,1.0,2024-12-02 22:30:00,5.263157894736842,30
Monday,0,ID-JK 2303,bandara soekarno hatta,stasiun gambir,19,3.0,2024-12-02 22:30:00,15.789473684210526,31
Monday,0,ID-JK 2304,bandara soekarno hatta,stasiun gambir,19,2.0,2024-12-02 22:30:00,10.526315789473683,32
